0,765
1,225
2,15
3,500
4,75
5,130
6,425
7,2165
8,2300
9,170
10,565
11,235
12,0
13,570
14,610
15,745
16,840
17,270
18,775
19,150
20,240
21,445
22,395
23,195
24,45
25,525
26,150
27,285
28,1135
29,1345
30,1865
31,1865
32,295
33,1270
34,700
35,75
36,315
37,15
38,235
39,540
40,210
41,675
42,675
43,500
44,500
45,150
46,475
47,630
48,420
49,680
50,90
51,645
52,245
53,1455
54,765
55,895
56,100
57,100
58,100
59,135
60,255
61,535
62,895
63,840
64,170
65,1675
66,435
67,270
68,90
69,195
70,240
71,135
72,315
73,1255
74,305
75,2065
76,1575
77,45
78,530
79,225
80,225
81,45
82,135
83,690
84,1095
85,265
86,30
87,660
88,60
89,100
90,260
91,890
92,420
93,330
94,60
95,105
96,105
97,105
98,805
99,0
100,315
101,3870
102,405
103,150
104,1170
105,1170
106,135
107,135
108,315
109,0
110,405
111,315
112,665
113,530
114,620
115,380
116,435
117,130
118,405
119,480
120,240
121,135
122,375
123,825
124,100
125,250
126,510
127,585
128,150
129,75
130,800
131,435
132,110
133,45
134,395
135,900
136,15
137,470
138,420
139,385
140,385
141,720
142,190
143,165
144,1080
145,330
146,330
147,15
148,60
149,145
150,1005
151,140
152,1240
153,0
154,0
155,1170
156,1750
157,635
158,635
159,315
160,15
161,885
162,0
163,195
164,245
165,270
166,270
167,0
168,675
169,1185
170,15
171,690
172,385
173,980
174,700
175,15
176,200
177,200
178,885
179,945
180,30
181,915
182,1050
183,3385
184,2540
185,2075
186,370
187,535
188,825
189,45
190,90
191,485
192,325
193,325
194,705
195,5670
196,5670
197,1790
198,915
199,630
200,225
201,630
202,90
203,560
204,270
205,160
206,3055
207,60
208,150
209,4890
210,1730
211,1745
212,1785
213,290
214,895
215,105
216,610
217,1170
218,555
219,1275
220,600
221,200
222,420
223,15
224,210
225,615
226,105
227,75
228,75
229,195
230,120
231,185
232,60
233,300
234,265
235,1365
236,15
237,290
238,90
239,15
240,465
241,975
242,1065
243,165
244,280
245,30
246,540
247,60
248,375
249,355
250,135
251,225
252,90
253,270
254,150
255,990
256,575
257,330
258,75
259,90
260,470
261,210
262,210
263,240
264,390
265,390
266,190
267,445
268,240
269,2460
270,1005
271,180
272,180
273,180
274,105
275,85
276,1430
277,385
278,1750
279,520
280,385
281,420
282,420
283,105
284,105
285,270
286,385
287,385
288,540
289,510
290,345
291,420
292,995
293,995
294,540
295,2430
296,2635
297,1140
298,1440
299,440
300,695
301,465
302,505
303,2145
304,15
305,55
306,235
307,910
308,910
309,440
310,240
311,150
312,465
313,800
314,370
315,60
316,285
317,225
318,225
319,345
320,360
321,635
322,630
323,240
324,240
325,240
326,740
327,90
328,175
329,175
330,4300
331,490
332,90
333,495
334,405
335,3015
336,115
337,1090
338,195
339,75
340,90
341,1100
342,255
343,370
344,455
345,420
346,1385
347,1675
348,90
349,130
350,1890
351,810
352,330
353,330
354,1885
355,2495
356,180
357,1820
358,1490
359,120
360,635
361,225
362,655
363,130
364,60
365,305
366,315
367,15
368,385
369,600
370,150
371,240
372,15
373,3010
374,395
375,810
376,165
377,995
378,1430
379,280
380,80
381,2210
382,780
383,1900
384,2815
385,465
386,305
387,1815
388,1320
389,580
390,130
391,205
392,265
393,265
394,375
395,315
396,840
397,130
398,15
399,805
